no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,arrival_day,booking_status
2,2,2,1,Meal Plan 1,0,Room_Type 6,110,Online,0,0,0,168.1,3,212,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96,1,223,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,192,Online,0,0,0,94.5,1,222,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,117.81,1,267,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,140,0,154,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,84,Offline,0,0,0,100.33,0,366,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,1,Online,0,0,0,81,2,220,Not_Canceled
2,0,1,4,Meal Plan 2,0,Room_Type 2,34,Offline,0,0,0,111.96,0,300,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,9,Online,0,0,0,71.6,1,10,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,116,1,98,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,0,0,0,101.5,0,290,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,68.45,1,332,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,12,Corporate,0,0,0,130,0,294,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,21,Offline,0,0,0,92,0,309,Not_Canceled
0,2,2,1,Meal Plan 1,0,Room_Type 2,34,Online,0,0,0,119.5,1,164,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,80,Online,0,0,0,147.9,3,190,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,0,0,0,120,0,166,Not_Canceled
2,1,1,0,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,109,1,39,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,122,Online,0,0,0,85,0,106,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,3,Offline,0,0,0,75,0,360,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,193,Online,0,0,0,65,0,289,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,106,Online,0,0,0,90,2,309,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,70,Online,0,0,0,89.25,1,296,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,173,Offline,0,0,0,72.25,0,194,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,5,Online,0,0,0,89,1,150,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,121,Offline,0,0,0,90,0,176,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,1,Offline,0,0,0,176,0,266,Not_Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 1,296,Offline,0,0,0,117,1,265,Canceled
3,0,1,5,Meal Plan 1,1,Room_Type 4,38,Online,0,0,0,177.3,2,228,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,47,Corporate,0,0,0,65,0,316,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,276,Online,0,0,0,61,0,134,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,50,Online,0,0,0,98.6,0,88,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,226,Offline,0,0,0,70,1,303,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,224,Online,0,0,0,82.11,0,364,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,13,Online,0,0,0,102.33,2,251,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,69,Online,0,0,0,79.2,2,309,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,17,Online,0,0,0,125.67,0,259,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,3,Corporate,0,0,0,100,0,235,Not_Canceled
2,0,2,6,Meal Plan 1,0,Room_Type 1,195,Online,0,0,0,109.23,0,247,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,76,Offline,0,0,0,120,0,284,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,10,Offline,0,0,0,85,1,249,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,47,Offline,0,0,0,80.75,0,290,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,2,Online,0,0,0,209.5,2,274,Not_Canceled
